csv_date,hour,sky_condition
01/29/2013,06,4
01/29/2013,07,4
01/29/2013,08,4
01/29/2013,09,4
01/29/2013,10,4
01/29/2013,11,4
01/29/2013,12,4
01/29/2013,13,4
01/29/2013,14,4
01/29/2013,15,4
01/29/2013,16,4
01/29/2013,17,4
01/29/2013,18,3
01/29/2013,19,3
01/29/2013,20,3
01/29/2013,21,4
01/29/2013,22,4
01/29/2013,23,4
01/30/2013,00,4
01/30/2013,01,4
01/30/2013,02,4
01/30/2013,03,4
01/30/2013,04,4
01/30/2013,05,4
01/30/2013,06,4
01/30/2013,07,4
01/30/2013,08,4
01/30/2013,09,4
01/30/2013,10,4
01/30/2013,11,4
01/30/2013,12,4
01/30/2013,13,4
01/30/2013,14,4
01/30/2013,15,4
01/30/2013,16,4
01/30/2013,17,4
01/30/2013,18,4
01/30/2013,19,4
01/30/2013,20,4
01/30/2013,21,4
01/30/2013,22,4
01/30/2013,23,4
01/31/2013,00,4
01/31/2013,01,4
01/31/2013,02,4
01/31/2013,03,3
01/31/2013,04,4
01/31/2013,05,4
01/31/2013,06,4
01/31/2013,07,4
01/31/2013,08,4
01/31/2013,09,4
01/31/2013,10,4
01/31/2013,11,4
01/31/2013,12,4
01/31/2013,13,4
01/31/2013,14,3
01/31/2013,15,4
01/31/2013,16,4
01/31/2013,17,4
01/31/2013,18,4
01/31/2013,19,4
01/31/2013,20,4
01/31/2013,21,4
01/31/2013,22,3
01/31/2013,23,4
02/01/2013,01,4
02/01/2013,02,4
02/01/2013,03,4
02/01/2013,04,4
02/01/2013,05,4
02/01/2013,06,3
02/01/2013,07,4
02/01/2013,08,4
02/01/2013,09,4
02/01/2013,10,3
02/01/2013,11,3
02/01/2013,12,3
02/01/2013,13,3
02/01/2013,14,3
02/01/2013,15,3
02/01/2013,16,3
02/01/2013,17,1
02/01/2013,18,2
02/01/2013,19,1
02/01/2013,20,0
02/01/2013,21,0
02/01/2013,22,0
02/01/2013,23,0
02/02/2013,00,0
02/02/2013,01,0
02/02/2013,02,0
02/02/2013,03,0
02/02/2013,04,4
02/02/2013,05,4
02/02/2013,06,4
02/02/2013,07,4
02/02/2013,08,4
02/02/2013,09,4
02/02/2013,10,4
02/02/2013,11,3
02/02/2013,12,3
02/02/2013,13,3
02/02/2013,14,3
02/02/2013,15,3
02/02/2013,16,3
02/02/2013,17,1
02/02/2013,18,2
02/02/2013,19,0
02/02/2013,20,2
02/02/2013,21,0
02/02/2013,22,0
02/02/2013,23,0
02/03/2013,00,0
02/03/2013,01,1
02/03/2013,02,4
02/03/2013,03,4
02/03/2013,04,4
02/03/2013,05,4
02/03/2013,06,4
02/03/2013,07,4
02/03/2013,08,4
02/03/2013,09,4
02/03/2013,10,4
02/03/2013,11,4
02/03/2013,12,4
02/03/2013,13,4
02/03/2013,14,4
02/03/2013,15,4
02/03/2013,16,4
02/03/2013,17,4
02/03/2013,18,4
02/03/2013,19,4
02/03/2013,20,4
02/03/2013,21,4
02/03/2013,22,4
02/03/2013,23,4
02/04/2013,00,4
02/04/2013,01,4
02/04/2013,02,4
02/04/2013,03,4
02/04/2013,04,4
02/04/2013,05,3
02/04/2013,06,4
02/04/2013,07,3
02/04/2013,08,4
02/04/2013,09,4
02/04/2013,10,4
02/04/2013,11,4
02/04/2013,12,4
02/04/2013,13,3
02/04/2013,14,3
02/04/2013,15,4
02/04/2013,16,4
02/04/2013,17,4
02/04/2013,18,4
02/04/2013,19,4
02/04/2013,20,4
02/04/2013,21,4
02/04/2013,22,4
02/04/2013,23,4
02/05/2013,00,4
02/05/2013,01,4
02/05/2013,02,4
02/05/2013,03,4
02/05/2013,04,4
02/05/2013,05,4
02/05/2013,06,4
02/05/2013,07,4
02/05/2013,08,4
02/05/2013,09,3
02/05/2013,10,3
02/05/2013,11,3
02/05/2013,12,4
02/05/2013,13,4
02/05/2013,14,4
02/05/2013,15,3
02/05/2013,16,4
02/05/2013,17,3
02/05/2013,18,4
02/05/2013,19,3
02/05/2013,20,1
02/05/2013,21,4
02/05/2013,22,3
02/05/2013,23,3
02/06/2013,00,3
02/06/2013,01,3
02/06/2013,02,3
02/06/2013,03,3
02/06/2013,04,4
02/06/2013,05,4
02/06/2013,06,4
02/06/2013,07,4
02/06/2013,08,4
02/06/2013,09,4
02/06/2013,10,4
02/06/2013,11,4
02/06/2013,12,3
02/06/2013,13,4
02/06/2013,14,4
02/06/2013,15,4
02/06/2013,16,4
02/06/2013,17,4
02/06/2013,18,4
02/06/2013,19,4
02/06/2013,20,4
02/06/2013,21,4
02/06/2013,22,4
02/06/2013,23,4
02/07/2013,00,4
02/07/2013,01,3
02/07/2013,02,1
02/07/2013,03,3
02/07/2013,04,3
02/07/2013,05,1
02/07/2013,06,1
02/07/2013,07,3
02/07/2013,08,3
02/07/2013,09,3
02/07/2013,10,3
02/07/2013,11,3
02/07/2013,12,3
02/07/2013,13,3
02/07/2013,14,3
02/07/2013,15,3
02/07/2013,16,3
02/07/2013,17,3
02/07/2013,18,3
02/07/2013,19,1
02/07/2013,20,0
02/07/2013,21,0
02/07/2013,22,0
02/07/2013,23,2
02/08/2013,00,2
02/08/2013,01,2
02/08/2013,02,3
02/08/2013,03,4
02/08/2013,04,4
02/08/2013,05,4
02/08/2013,06,4
02/08/2013,07,4
02/08/2013,08,4
02/08/2013,09,4
02/08/2013,10,3
02/08/2013,11,3
02/08/2013,12,4
02/08/2013,13,3
02/08/2013,14,1
02/08/2013,15,1
02/08/2013,16,3
02/08/2013,17,1
02/08/2013,18,1
02/08/2013,19,1
02/08/2013,20,1
02/08/2013,21,1
02/08/2013,22,2
02/08/2013,23,0
02/09/2013,00,3
02/09/2013,01,3
02/09/2013,02,3
02/09/2013,03,3
02/09/2013,04,3
02/09/2013,05,3
02/09/2013,06,1
02/09/2013,07,3
02/09/2013,08,4
02/09/2013,09,4
02/09/2013,10,4
02/09/2013,11,4
02/09/2013,12,4
02/09/2013,13,4
02/09/2013,14,4
02/09/2013,15,4
02/09/2013,16,4
02/09/2013,17,4
02/09/2013,18,4
02/09/2013,19,4
02/09/2013,20,4
02/09/2013,21,4
02/09/2013,22,4
02/09/2013,23,4
02/10/2013,00,4
02/10/2013,01,4
02/10/2013,02,4
02/10/2013,03,4
02/10/2013,04,4
02/10/2013,05,4
02/10/2013,06,4
02/10/2013,07,4
02/10/2013,08,4
02/10/2013,09,4
02/10/2013,10,3
02/10/2013,11,3
02/10/2013,12,3
02/10/2013,13,4
02/10/2013,14,4
02/10/2013,15,4
02/10/2013,16,4
02/10/2013,17,4
02/10/2013,18,4
02/10/2013,19,4
02/10/2013,20,4
02/10/2013,21,4
02/10/2013,22,4
02/10/2013,23,4
02/11/2013,00,4
02/11/2013,01,4
02/11/2013,02,4
02/11/2013,03,4
02/11/2013,04,4
02/11/2013,05,4
02/11/2013,06,4
02/11/2013,07,4
02/11/2013,08,4
02/11/2013,09,4
02/11/2013,10,4
02/11/2013,11,4
02/11/2013,12,4
02/11/2013,13,4
02/11/2013,14,4
02/11/2013,15,4
02/11/2013,16,4
02/11/2013,17,4
02/11/2013,18,4
02/11/2013,19,4
02/11/2013,20,4
02/11/2013,21,4
02/11/2013,22,4
02/11/2013,23,4
02/12/2013,00,4
02/12/2013,01,4
02/12/2013,02,4
02/12/2013,03,4
02/12/2013,04,4
02/12/2013,05,4
02/12/2013,06,4
02/12/2013,07,4
02/12/2013,08,4
02/12/2013,09,4
02/12/2013,10,4
02/12/2013,11,4
